movie_name,release_date,runtime,movie_genre,movie_director,producer,banner
Angrezi Medium,13-Mar-20,145,Drama,Homi Adajania,Dinesh Vijan,Maddock Films
Baaghi 3,06-Mar-20,147,Action,Ahmed Khan,Sajid Nadiadwala,Nadiadwala Grandson Entertainment
Thappad,28-Feb-20,142,Drama,Anubhav Sinha,Bhushan Kumar,Benaras Media Works
Shubh Mangal Zyada Saavdhan,21-Feb-20,120,Comedy,Hitesh Kewalya,Aanand L Rai,Colour Yellow Productions Pvt Ltd
Bhoot: Part One - The Haunted Ship,21-Feb-20,117,Horror,Bhanu Pratap Singh,Hiroo Johar,Dharma Productions
Love Aaj Kal,14-Feb-20,141,Romance,Imtiaz Ali,Dinesh Vijan,Maddock Films
Malang,07-Feb-20,134,Romance,Mohit Suri,Bhushan Kumar,Luv Films
Shikara,07-Feb-20,120,Drama,Vidhu Vinod Chopra,Vidhu Vinod Chopra,Fox Star Studios
Jawaani Jaaneman,31-Jan-20,119,Comedy,Nitin Kakkar,Jackky Bhagnani,Pooja Entertainment
Panga,24-Jan-20,129,Sports,Ashwiny Iyer Tiwari,Fox Star Studios,Fox Star Studios
Street Dancer 3D,24-Jan-20,144,Dance,Remo D'Souza,Bhushan Kumar,T-Series Super Cassettes Industries Ltd.
Tanhaji: The Unsung Warrior,10-Jan-20,134,Historical,Om Raut,Ajay Devgn,T-Series Super Cassettes Industries Ltd.
Chhapaak,10-Jan-20,123,Drama,Meghna Gulzar,Fox Star Studios,Fox Star Studios
Good Newwz,27-Dec-19,134,Comedy,Raj Mehta,Hiroo Johar,Dharma Productions
Dabangg 3,20-Dec-19,163,Action,Prabhu Deva,Salma Khan,Salman Khan Films
Mardaani 2,13-Dec-19,106,Crime,Gopi Puthran,Aditya Chopra,Yash Raj Films
Pati Patni Aur Woh,06-Dec-19,128,Comedy,Mudassar Aziz,Bhushan Kumar,B R Studios
Panipat,06-Dec-19,162,Historical,Ashutosh Gowariker,Sunita Gowariker,Ashutosh Gowariker Productions
Commando 3,29-Nov-19,133,Action,Aditya Datt,Vipul Shah,Sunshine Pictures Pvt. Ltd
Marjaavaan,15-Nov-19,137,Action,Milap Zaveri,Bhushan Kumar,Emmay Entertainment Pvt. Ltd
Bala,08-Nov-19,129,Comedy,Amar Kaushik,Dinesh Vijan,Maddock Films
Ujda Chaman,01-Nov-19,120,Comedy,Abhishek Pathak,Kumar Mangat Pathak,Panorama Studios
Housefull 4,25-Oct-19,142,Comedy,Farhad Samji,Sajid Nadiadwala,Nadiadwala Grandson Entertainment
Saand Ki Aankh,25-Oct-19,149,Biographical,Tushar Hiranandani,Reliance Entertainment,Reliance Entertainment
The Sky Is Pink,11-Oct-19,149,Biographical,Shonali Bose,Siddharth Roy Kapur,RSVP
Sye Raa Narasimha Reddy,02-Oct-19,170,Historical,Surender Reddy,Ram Charan,Konidela Production Company
War,02-Oct-19,156,Action,Siddharth Anand,Aditya Chopra,Yash Raj Films
Pal Pal Dil Ke Paas,20-Sep-19,153,Romance,Sunny Deol,Zee Studios,Zee Studios
Section 375,13-Sep-19,124,Drama,Ajay Bahl,Kumar Mangat Pathak,Panorama Studios
Dream Girl,13-Sep-19,132,Comedy,Raaj Shaandilyaa,Shobha Kapoor,Balaji Motion Pictures
Chhichhore,06-Sep-19,146,Comedy,Nitesh Tiwari,Sajid Nadiadwala,Fox Star Studios
Saaho,30-Aug-19,171,Action,Sujeeth,Vamsi - Pramod,UV Creations
Batla House,15-Aug-19,146,Action,Nikhil Advani,Bhushan Kumar,T-Series Super Cassettes Industries Ltd.
Mission Mangal,15-Aug-19,133,Drama,Jagan Shakti,Cape of Good Films,Fox Star Studios
Jabariya Jodi,09-Aug-19,144,Action,Prashant Singh,Shobha Kapoor,Balaji Motion Pictures
Judgemental Hai Kya,26-Jul-19,121,Comedy,Prakash Kovelamudi,Shobha Kapoor,Karma Media and Entertainment
Super 30,12-Jul-19,154,Biographical,Vikas Bahl,Nadiadwala Grandson Entertainment,Nadiadwala Grandson Entertainment
Article 15,28-Jun-19,131,Crime,Anubhav Sinha,Anubhav Sinha,Zee Studios
Kabir Singh,21-Jun-19,175,Drama,Sandeep Reddy Vanga,Bhushan Kumar,T-Series Super Cassettes Industries Ltd.
Game Over,14-Jun-19,103,Thriller,Ashwin Saravanan,S. Sashikanth,Y Not Studios
Bharat,05-Jun-19,155,Drama,Ali Abbas Zafar,Atul Agnihotri,Salman Khan Films
PM Narendra Modi,24-May-19,131,Biographical,Omung Kumar,Suresh Oberoi,Legend Studios
India's Most Wanted,24-May-19,123,Action,Rajkumar Gupta,Fox Star Studios,Fox Star Studios
De De Pyaar De,17-May-19,135,Comedy,Akiv Ali,Bhushan Kumar,Luv Films
Student Of The Year 2,10-May-19,146,Drama,Punit Malhotra,Hiroo Johar,Dharma Productions
Blank,03-May-19,111,Action,Tony D'souza,Sunny Deol,Behzad Khambata
Kalank,17-Apr-19,168,Period,Abhishek Varman,Karan Johar,Fox Star Studios
The Tashkent Files,12-Apr-19,144,Drama,Vivek Agnihotri,Pranay Chokshi,Zee Studios
Romeo Akbar Walter,05-Apr-19,145,Spy,Robbie Grewal,Viacom18 Motion Pictures,Viacom18 Motion Pictures
Junglee,29-Mar-19,115,Action,Chuck Russell,Vineet Jain,Junglee Pictures
Kesari,21-Mar-19,150,Period,Anurag Singh,Hiroo Johar,Azure Entertainment
Badla,08-Mar-19,120,Crime,Sujoy Ghosh,Akshai Puri,Red Chillies Entertainment
Luka Chuppi,01-Mar-19,126,Comedy,Laxman Utekar,Dinesh Vijan,Maddock Films
Sonchiriya,01-Mar-19,146,Crime,Abhishek Chaubey,Ronnie Screwvala,RSVP
Total Dhamaal,22-Feb-19,130,Comedy,Indra Kumar,Ajay Devgn,Fox Star Studios
Gully Boy,14-Feb-19,156,Musical,Zoya Akhtar,Ritesh Sidhwani,Excel Entertainment
Amavas,08-Feb-19,134,Horror,Bhushan Patel,Raina Sachiin Joshi,Viiking Media & Entertainment Pvt Ltd.
Ek Ladki Ko Dekha Toh Aisa Laga,01-Feb-19,121,Romance,Shelly Chopra Dhar,Vidhu Vinod Chopra,Vinod Chopra Films
Manikarnika: The Queen Of Jhansi,25-Jan-19,148,Biographical,Krish,Zee Studios,Zee Studios
Thackeray,25-Jan-19,139,Biographical,Abhijit Panse,Viacom18 Motion Pictures,Viacom18 Motion Pictures
Why Cheat India,18-Jan-19,121,Drama,Soumik Sen,Bhushan Kumar,Ellipsis Entertainment
The Accidental Prime Minister,11-Jan-19,112,Biographical,Sunil Bohra,Anupam Kher,Vijay Ratnakar Gutte
Uri: The Surgical Strike,11-Jan-19,138,Action,Aditya Dhar,Ronnie Screwvala,RSVP
Simmba,28-Dec-18,159,Action,Rohit Shetty,Hiroo Johar,Dharma Productions
KGF,21-Dec-18,155,Action,Prashanth Neel,Vijay Kiragandur,Hombale Films
Zero,21-Dec-18,158,Comedy,Aanand L Rai,Gauri Khan,Red Chillies Entertainment
Kedarnath,07-Dec-18,120,Drama,Abhishek Kapoor,Ronnie Screwvala,Guy In The Sky Pictures
2,29-Nov-18,146,Sci-fi,Shankar,Subaskaran,Lyca Productions
Bhaiaji Superhittt,23-Nov-18,133,Comedy,Neerraj Pathak,Chirag Mahendra Dhariwal,Metro Movies
Pihu,16-Nov-18,93,Drama,Vinod Kapri,Ronnie Screwvala,RSVP
Mohalla Assi,16-Nov-18,120,Drama,Dr Chandrakprakash Dwivedi,Vinay Tiwari,Crossword Entertainment Pvt Ltd
Thugs Of Hindostan,08-Nov-18,165,Action,Vijay Krishna Acharya,Aditya Chopra,Yash Raj Films
Baazaar,26-Oct-18,140,Crime,Gauravv K Chawla,Dheeraj Wadhawan,Emmay Entertainment Pvt. Ltd
Badhaai Ho,18-Oct-18,126,Comedy,Amit Ravindernath Sharma,Vineet Jain,Chrome Pictures
Tumbbad,12-Oct-18,113,Horror,Rahi Anil Barve,Sohum Shah,Eros International
AndhaDhun,05-Oct-18,140,Thriller,Sriram Raghavan,Ayushman Khurana,Viacom18 Motion Pictures
Sui Dhaaga: Made In India,28-Sep-18,122,Drama,Sharat Katariya,Maneesh Sharma,Yash Raj Films
Pataakha,28-Sep-18,136,Drama,Vishal Bhardwaj,Dheeraj Wadhawan,Kyta Productions
Batti Gul Meter Chalu,21-Sep-18,163,Drama,Shree Narayan Singh,Bhushan Kumar,T-Series Super Cassettes Industries Ltd.
Manmarziyaan,14-Sep-18,157,Drama,Anurag Kashyap,Aanand L Rai,Colour Yellow Productions Pvt Ltd
Yamla Pagla Deewana Phir Se,31-Aug-18,148,Comedy,Bobby Deol,,Navaniat Singh
Stree,31-Aug-18,130,Comedy,Amar Kaushik,Dinesh Vijan,Maddock Films
Happy Phirr Bhag Jayegi,24-Aug-18,137,Comedy,Mudassar Aziz,Aanand L Rai,Eros International
Gold,15-Aug-18,153,,Reema Kagti,Ritesh Sidhwani,Excel Entertainment
Satyameva Jayate,15-Aug-18,141,Action,Milap Zaveri,Bhushan Kumar,T-Series Super Cassettes Industries Ltd.
Fanney Khan,03-Aug-18,130,Drama,Atul Manjrekar,Bhushan Kumar,Rakeysh Omprakash Mehra Pictures
Mulk,03-Aug-18,140,Drama,Anubhav Sinha,Deepak Mukut,Benaras Media Works
Karwaan,03-Aug-18,120,Drama,Akarsh Khurana,Ronnie Screwvala,RSVP
Dhadak,20-Jul-18,138,Drama,Shashank Khaitan,Karan Johar,Dharma Productions
Soorma,13-Jul-18,131,Biographical,Shaad Ali,Sony Pictures Networks Productions,Sony Pictures Networks Productions
Sanju,29-Jun-18,162,Biographical,Rajkumar Hirani,Vidhu Vinod Chopra,Vinod Chopra Films
Race 3,15-Jun-18,160,Action,Remo D'Souza,Salma Khan,Tips Music Films
Veere Di Wedding,01-Jun-18,125,Comedy,Shashanka Ghosh,Shobha Kapoor,Anil Kapoor Film Company
Parmanu: The Story of Pokhran,25-May-18,130,Action,Abhishek Sharma,Zee Studios,Zee Studios
Raazi,11-May-18,140,Drama,Meghna Gulzar,Vineet Jain,Dharma Productions
102 Not Out,04-May-18,101,Comedy,Umesh Shukla,SPE Films India,Treetop Entertainment
Omerta,04-May-18,98,Drama,Hansal Mehta,Nahid Khan,Swiss Entertainment Pvt. Ltd.
Nanu Ki Jaanu,20-Apr-18,133,Comedy,Faraz Haider,Sajid Qureshi,Inbox Pictures Pvt. Ltd.
October,13-Apr-18,116,Drama,Shoojit Sircar,Ronnie Lahiri,Rising Sun Films
Blackmail,06-Apr-18,139,Comedy,Abhinay Deo,Bhushan Kumar,T-Series Super Cassettes Industries Ltd.
Baaghi 2,30-Mar-18,145,Action,Ahmed Khan,Sajid Nadiadwala,Nadiadwala Grandson Entertainment
Hichki,23-Mar-18,140,Drama,Siddharth P Malhotra,Maneesh Sharma,Yash Raj Films
Raid,16-Mar-18,128,Crime,Rajkumar Gupta,Bhushan Kumar,T-Series Super Cassettes Industries Ltd.
Hate Story IV,09-Mar-18,131,Thriller,Vishal Pandya,Krishan Kumar,T-Series Super Cassettes Industries Ltd.
Pari,02-Mar-18,137,Horror,Prosit Roy,Anushka Sharma,Clean Slate Films
Welcome To New York,23-Feb-18,124,Comedy,Chakri Toleti,Vashu Bhagnani,Pooja Entertainment India Ltd.
Sonu Ke Titu Ki Sweety,23-Feb-18,140,Comedy,Luv Ranjan,Ankur Garg,Luv Films
Aiyaary,16-Feb-18,160,Action,Neeraj Pandey,Shital Bhatia,Reliance Entertainment
Pad Man,09-Feb-18,140,Social,R. Balki,Twinkle Khanna,Mrs Funnybones Movies
Padmaavat,25-Jan-18,163,Historical,Sanjay Leela Bhansali,Sanjay Leela Bhansali,Viacom18 Motion Pictures
1921,12-Jan-18,144,Horror,Vikram Bhatt,Reliance Entertainment,Reliance Entertainment
Kaalakaandi,12-Jan-18,112,Drama,Akshat Verma,Rohit Khattar,Cinestaan Film Company
Mukkabaaz,12-Jan-18,155,Drama,Anurag Kashyap,Aanand L Rai,Eros International
Tiger Zinda Hai,22-Dec-17,161,Action,Ali Abbas Zafar,Aditya Chopra,Yash Raj Films
Fukrey Returns,08-Dec-17,131,Comedy,Mrigdeep Singh Lamba,Ritesh Sidhwani,Excel Entertainment
Firangi,01-Dec-17,160,Comedy,Rajiev Dhingra,Kapil Sharma,K9 Films
Tumhari Sulu,17-Nov-17,140,Comedy,Suresh Triveni,Bhushan Kumar,Ellipsis Entertainment
Aksar 2,17-Nov-17,117,Thriller,Anant Mahadevan,Narendra Bajaj,Siddhi Vinayak Creations
Qarib Qarib Singlle,10-Nov-17,125,Comedy,Tanuja Chandra,Zee Studios,Jar Pictures
